\ )
m m
番 no.1.
期 period
影響 influenced
たり unwanted
世紀 century
ドイツ german
入 back
社会 social
地方 regional
試合 matches
国際 international
ほか addition
同 at
院 residentiary
館 museum
記録 record
自動 automobile
都市 cities
チーム team
一方 nevertheless
音楽 music
道 road
得 obtain
16 16
列車 trains
しま luckily
大阪 york
18 18
ながら while
明治 1890
フランス french
み middles
物 materials
車両 vehicles
旧 formerly
東 east
中国 chinese
特に particularly
出演 costars
かけ mid
川 river
リーグ league
位置 farthest
大き correspondingly
体 bodies
方 usefully
残 remains
全 comprised
異な differs
監督 director
戦争 war
主義 socialism
大会 championships
計画 planned
結果 results
教育 education
参加 participated
a b
両 comprised
通 through
以外 other
13 13
賞 award
当初 initially
中央 central
務め longest-serving
島 island
1日 january
曲 songs
14 13
文化 cultural
無 no
開催 held
機関 government-operated
意味 meaning
派 staunchly
うち five
各 each
円 $
出身 hails
19 13
頃 sometime
17 13
同様 similar
共 alongside
子 maternally
経済 economic
不 irregularity
ホーム platforms
台 trackside
ただし exception
小 primary
イギリス spain
政府 government
人物 personages
構造 structure
事件 incident
高等 college
シーズン season
出場 internationals
採用 superseded
自身 his
部分 sections
西 east
与え given
販売 marketed
面 oriented
建設 construction
担当 supervising
とき whenever
話 episode
情報 information
にて at
発生 triggered
25 30
隊 troop
道路 roadways
伴 underwent
及び excluding
年度 full-year
政治 political
航空 aviation
状態 unstable
省 bureau
ほど almost
それぞれ each
所属 joined
2006 2009
21 13
交通 transportation
そして finally
通り follows
続 marked
優勝 runner-up
編成 four-car
かつて formerly
システム systems
立 stood
強 strong
終了 cancelation
技術 technical
例 examples
構成 consisting
現 formerly
示 indicating
まま completely
運転 trains
委員 committee
年間 year
施設 facilities
王 king
グループ group
運行 timetabled
手 hand
2000 2000
24 24
2005 2007
始め began
少な fewer
都 havering
最初 first
野球 baseball
攻撃 attacking
生まれ born
寺 werburgh
場所 places
続け continued
店 supermarket
決定 preliminary
22 31
選挙 elections
向け aimed
目的 purpose
名称 name
機能 functioning
地区 suburbs
2007 2008
再 renewal
時期 mid-late
天皇 eire
製造 manufactured
置 functioned
女性 female
役 acted
自分 knowing
2010 2010
制作 co-productions
jr trailways
ところ out
科 hosei
100 100
就任 appointed
プロ professional
設定 crossovers
基本 basic
対応 pre-configured
設立 founded
山 mount
最終 final
生産 exported
員 technicians
23 23
起こ disturbances
最も most
管理 management
帝国 empire
説 theorised
最後 last
種 hybrids
北 north
全国 nationwide
量 amounts
京都 rochester
制 instate
特徴 distinctive
ほとんど few
運動 movement
廃止 abolished
2008 2009
獲得 winning
府 prefectural
大きな large
組織 organization
生活 life
何 anything
金 gold
実施 undertaken
官 officer
経 until
別 separate
艦 destroyers
調査 surveys
導入 introduced
城 castle
＝ fils
全て all
描 depicts
b b
べ should
企業 corporations
自由 freedom
表 denote
卒業 graduating
内容 summaries
周辺 surrounding
認め recognize
以前 existed
父 father
江戸 elizabethan
挙げ victories
状況 situation
2009 2014
加え adding
実際 actual
独立 independent
同時 simultaneously
評価 critical
株式 wholly-owned
村 villages
至 continuing
搭載 equipped
勝 wins
率 rate
国家 bureaucracies
2004 2004
級 class
主に primarily
人口 population
c c2
通常 normally
モデル model
程度 20-30
南 north
人間 beings
高校 eighth-grade
参照 non-exhaustive
初めて first
重要 important
26 27
エンジン engine
アルバム album
最大 largest
規模 large-scale
指定 state-designated
28 28
水 water
27 27
2011 2013
f f1
こう jelling
表記 spelling
結 connecting
歌 sung
低 low
総 general
理由 reasons
文字 alphabet
アニメ anime
ロシア russian
対象 categories
契約 contract
km km
記 mentions
四 5th
カード card
営業 company-owned
区間 grade-separated
戦闘 combat
最高 highest
特別 special
属 belongs
進 progressing
果た first-ever
達 about
活躍 career
初期 earliest
方法 method
キャラクター characters
除 excluding
センター center
藩 monck
50 50
海軍 navy
思 definitely
期間 duration
漫画 comic
29 23
条 §
そこ them
31 31
論 theory
2012 2015
時点 date
多数 dozens
共和 republic
非 non-
ローマ rome
述べ stating
運用 operational
議員 senate
~ ~
部隊 detachments
求め seeking
デビュー debut
あるいは or
組 six-person
ここ here
ラジオ radio
勝利 victory
制度 merit-based
品 items
労働 workers
由来 derives
有 affords
製作 produced
方面 heading
関連 related
選 chosen
高速 high-speed
新聞 newspapers
様々 myriad
イタリア italian
整備 maintenance
完全 completely
類 herbivorous
2003 2004
cm cm
戦い battle
クラブ club
発見 discovered
〜 ~
連合 alliance
英語 hindi
ヨーロッパ europe
名前 names
科学 science
図 schemes
受賞 award
サービス provider
再び again
分類 classifications
変化 shifts
記念 commemorate
成功 successful
1990 1990s
ぐ safest
公開 screened
設計 designed
ほぼ entirely
指 refers
番号 three-digit
スポーツ sports
経営 business
北海道 manitoba
連続 consecutive
大戦 post-world
形式 now-standard
新た newly
すべて all
広 widely
ドラマ made-for-tv
方式 metering
電気 electrical
非常 extremely
公式 official
展開 refocused
ち strong
指導 guidance
比較 comparison
人気 popularity
予定 slated
収録 outtakes
あた part
海 sea
環境 environment
公 titular
x x2
デザイン design
いずれ only
2014 2015
d z
ろ assuredly
空港 airport
2013 2015
始ま beginning
支配 domination
合衆 salvadoran
国内 country
2015 2015
国民 patriotic
40 40
宇宙 interplanetary
自ら himself
; &
装置 on-board
十 twelves
翌 march
全体 overall
表示 alphanumeric
引退 retiring
完成 uncompleted
団体 organizations
飛行 flight
取 instead
行政 administrative
メンバー ex-members
しか anywhere
死 dying
運営 for-profit
距離 distance
協会 association
けれ must
2002 2004
作曲 composer
末 renewed
タイトル titles
提供 provided
2016 2018
表現 expressions
平均 average
付け designate
小説 novels
工業 industrial
教 christianity
発展 developments
銀行 bank
2020 2020
専門 specialist
言語 languages
基づ accordance
自然 natural
億 billion
大臣 minister
朝 merv
出版 publishing
主張 asserting
2001 2001
形成 forming
製 manufactured
戻 return
警察 police
神 god
事務 agency
圏 metropolises
流れ stream
広島 atlanta
種類 types
付 affixed
批判 criticism
1980 1970s
産業 industries
サッカー football
公園 park
2019 2019
2017 2019
色 colour
輸送 transport
s s
指揮 conducting
成立 formalised
外 outside
複数 multiple
以来 since
総合 multi-discipline
先 terminate
能力 abilities
近 closer
国道 highway
含め included
船 ship
死去 died
合併 merger
結婚 wed
裁判 court
枚 double-sided
演奏 instrumentalists
2018 2019
試験 tests
設け centrally
五 7th
移動 moving
のち later
会議 convened
移籍 loaned
橋 bridge
大統領 presidential
言葉 phrase
主要 main
群 nested
団 knights
以後 continued
向か heading
観光 tourist
打 outs
共同 jointly
民主 democratic
出来 make
最 top
改正 amended
発行 monthly
自治 autonomous
地下 underground
支援 assistance
教授 professor
データ data
j mx
称 referred
連邦 republics
本線 trackage
政権 ousting
器 tube
現代 modern
主 principally
どう hovind
条件 conditionally
アジア asia
開業 opened
舞台 drama
付近 near
工事 construction
近年 recent
専用 specially-designed
バンド band
定め accordance
反対 oppose
企画 showcase
内閣 cabinet
石 hamstone
方向 directions
動物 animal
洋 pacific
→ ●
系統 diverged
普通 one-
拡大 expanding
電車 streetcars
室 room
従 obey
通信 communications
終わ ended
相手 opponent
はじめ notably
街 streets
直接 directly
地上 ground
装備 equipped
製品 products
例えば example
法人 not-for-profit
感 feeling
結成 ex-member
政策 policy
地球 earth
巻 vol
g g
効果 effects
入れ remove
個人 personal
規定 regulations
音 sounds
よく prefers
値 weighting
さん momma
名古屋 bloomington
女子 women
建築 architectural
作戦 diversionary
朝鮮 koreans
ごと each
1999 2003
有名 famous
従来 newer
決勝 quarterfinal
過去 past
び where
スーパー super
確認 confirm
神社 churchtown
増加 increase
韓国 korean
1970 mid-1960s
姿 dressed
新し incorporate
事実 claiming
陸軍 quartermaster-general
文学 literature
後半 late
物語 retells
復帰 rejoined
大正 1915
合わせ consisted
馬 horses
やす prone
進め modernize
ソフト video-game
超 ultra
配置 centrally
定義 defined
掲載 three-page
系列 wb
子供 children
そう else
候補 candidates
the nagraj
議会 legislature
成績 finishing
正式 officially
士 paramedic
迎え sixteen-year
失 regaining
保護 protection
ファン fans
開 held
行動 behaviour
レース race
階 floors
= =
主な include
ある happens
報告 reports
副 vice
事故 accidents
店舗 stores
発 stopping
渡 across
福岡 perth
本作 remakes
改造 rebuilds
命 disobeyed
大型 large-sized
登録 registered
業務 services
競馬 horseracing
基 three-stage
1998 1998
工場 factory
横浜 melbourne
経験 experience
行為 unlawful
競技 non-olympic
なら if
良 good
御 blessington
一人 who
扱 commonplace
mm mm
重 heavy
教会 church
同じく alongside
学生 student
口 exits
記述 description
戦後 postwar
ダム dam
誕生 birthed
乗車 boardings
つけ three-cornered
カップ cup
インド subcontinent
星 star
支持 supported
標準 standard
光 sunlight
紹介 interviews
撮影 filming
ぶり debut
電子 electronic
条約 treaty
つつ continually
限 restricted
九州 aberdeen
ベース kit
r h
わた spanning
勢力 allying
人々 people
伝え recounted
60 60
娘 daughter
もと guidance
業 industry
メーカー manufacturers
各地 throughout
特定 specific
生物 organismal
港 harbour
e e
商品 brand-name
艦隊 flotilla
誌 magazine
今 what
2021 2021
制御 closed-loop
2人 whom
千葉 kent
え -and
v v
個 bases
細胞 cells
+ +
法律 law
連載 serialized
庁 agency
指摘 overstated
t t
スペイン portuguese
統一 unification
流 stream
外国 foreign
ニュース news
リリース released
元年 elphin
送 sent
唯一 second-oldest
1997 1998
短 shorter
nhk wgbh
追加 additional
ひと within
比べ compared
理論 theoretical
初代 successor
翌年 year
原因 cause
対戦 rematched
軍事 military
男性 female
決め deciding
形態 evolved
幕府 cromwellian
少年 teenage
母 grandmother
南部 southern
写真 photographs
守 protect
電話 phone
雑誌 magazines
途中 partway
単位 equivalent
分野 sub-fields
革命 revolution
1996 1996
統合 merging
処理 processing
私 sincerely
王国 kingdom
説明 explanation
安定 stability
旅客 passenger
ドル $
体制 centralise
彼女 her
独自 incorporate
停車 northbound
実現 achieve
シングル singles
接続 connect
進出 eventual
ネット web-only
朝日 gannett
古 preserved
準 semi
中継 telecasts
美術 art
ライン a-line
ワールド sevens
相 fall-out
将軍 general-in-chief
ザ pitbull
市場 market
状 ring-shaped
頭 hind
メートル meters
妻 wife
目指 aim
速度 speeds
民族 ethnic
障害 disability
客 tourists
1995 1998
軌道 orbital
温泉 springs
協力 cooperated
反応 reactions
変わ changing
湖 lake
住民 residents
部門 participations
宗教 religious
映像 footage
祭 festival
イベント weekend-long
関東 midlands
為 hinder
基準 criteria
座 downstage
声 voice
太平 pacific
現れ disappear
会長 vice-president
逆 conversely
丁目 avenue
枠 slot
家族 families
劇場 theater
超え exceeding
いく non-exhaustive
古代 ancient
特急 intercity
減少 decreased
入り picked
離れ moving
ボール footballs
夏 summer
精神 mental
見せ promisingly
取得 obtained
経由 via
1994 1996
男 man
校 colleges
司令 commander
190 1905
安全 safety
差 difference
1960 1950s
帯 daytime
タイプ type
維持 maintain
自体 itself
性能 underpowered
園 nursery
心 compassion
仕事 job
p f
族 tribe
敵 enemy
明らか suggesting
層 stratum
師 trained
i sch
移 moved
実験 experiments
芸術 artistic
制限 restriction
神戸 baltimore
共通 commonality
伝統 traditional
傾向 trend
ソ連 soviet
紀元 bce
敗れ defeated
深 deep
作家 writer
クラス class
被害 damage
地元 local
字 descender
あまり quite
幹線 rail
交換 exchange
k k
貨物 freight
直後 shortly
皇帝 emperor
主人 protagonist
仕様 specifications
界 foremost
キリスト christianity
台湾 taiwan
上記 above-mentioned
コンピュータ computer
反 anti-state
近く near
六 twelves
トップ top
改革 reform
海外 overseas
成長 growth
来 go
憲法 constitution
着 ascot
対立 disagreement
一覧 list
率い defected
選択 choose
車体 carbody
社長 ceo
作業 worksite
一時 temporarily
要素 elements
化学 chemical
植物 plants
悪 worse
北部 northeastern
機構 stabilization
近代 early-20th-century
1993 1993
ビル plaza
復活 revived
メディア media
定期 twice-weekly
向上 improved
普及 advent
風 breeze
ic interchange
※ n.b.
券 tickets
編集 editors
地理 geography
息子 brother
記載 lists
1992 1992
相当 equivalent
禁止 prohibited
市民 citizens
破壊 destruction
詳細 details
現役 retired
思想 philosophies
集め gathered
カー car
ユダヤ jewish
項 subpart
核 nuclear
土地 land
連絡 link
生涯 lifetime
解説 commentator
俳優 actor
不明 unknown
新潟 nashua
競走 thoroughbred
本来 meaning
料理 cuisine
商業 commercial
役割 vital
見え obscured
ライブ soundcheck
関西 boston-area
沖縄 hawaii
エネルギー energy
前後 around
1991 1991
東北 sudbury
範囲 extents
国立 national
弟 half-brother
報道 reporters
対策 mitigate
ガス gas
内部 internal
テーマ theme
首都 capital
拠点 foothold
後述 aforementioned
くる disappear
限定 exclusive
達成 achieved
メイン featured
オープン open
1989 1989
病院 hospital
備え equipped
機器 equipment
所在 located
原子 atomic
コーナー 90-second
ニューヨーク buenos
移転 relocated
ヒット million-selling
半島 peninsula
200 300
共産 communist
同盟 alliance
鉄 iron
判断 cautioned
未 as-yet
急行 intercity
いわゆる so-called
兵 soldiers
コーチ coach
オリンピック olympic
ロック rock
計 eight
駅舎 footbridge
人民 prc
占め sizable
サイト website
80 80
空間 spaces
スタジオ studios
首相 prime-minister
派遣 dispatched
基地 airfield
人員 boardings
32 32
症 chronic
オリジナル originals
要求 demanding
cd cds
段階 phase
スター superstar
購入 purchases
当た under
便 flights
当 now-closed
大陸 continent
通称 abbreviated
h h
防衛 defense
発電 hydro-power
関わ involved
得点 scoring
交差 intersecting
困難 difficult
来歴 ─
米 us
継承 successors
住宅 residential
惑星 asteroid
強化 strengthen
増え fewer
本社 headquartered
しばしば frequently
記事 obituaries
機体 airframe
太陽 solar
選出 elected
概念 concepts
ブランド brands
領 protectorate
経歴 notability
行な conducted
本部 headquarters
違い differing
砲 17-pounder
愛 love
分離 separation
市内 city
女 girls
作成 compile
赤 red
集団 groups
所有 owning
パリ paris
イメージ iconic
呼称 referred
45 45
観測 observatories
確保 providing
様 mimicking
ジョン enrique
移行 transitioned
同社 company
原作 novelization
継続 cessation
コース course
意見 opinions
マン pal
命令 instructions
前述 aforementioned
タイム 90-second
延長 extension
n k
停止 shutdown
阪神 tampa
区別 distinguish
フリー free
ストーリー story-line
もしくは or
レコード musicor
徳川 monck
宣言 declaring
作用 induces
隻 ships
特殊 unit
かつ equally
走 running
責任 accountable
段 ladder
席 seating
同一 identical
史 history
ガンダム gundam
本人 joked
背景 reflected
一定 varying
米国 u.s
分け grouped
割 percent
似 resembles
1988 1988
\&amp amp
通過 passing
投手 pitching
案 proposals
計算 calculations
面積 km2
かか shorten
仙台 christchurch
起き occurred
楽曲 songs
聞 hear
訪れ visited
藩主 baronet
マーク logo
設備 facilities
交流 connections
白 red
意識 conscious
資格 qualifications
職 appointment
機械 mechanical
著作 writings
半 alternating
500 500
国鉄 railways
敗 8-8
1987 1984
山口 forsyth
七 twelves
35 35
紙 paper
毎年 annually
入学 enrolling
死亡 deaths
史上 surpassing
デジタル digital
わけ necessarily
創設 founding
球団 minor-league
既に already
貢献 helping
70 70
立場 disagreeing
解散 disbanding
操作 controls
発足 newly-formed
物質 substances
改札 step-free
組合 co-operatives
中華 china
兄 brother
建物 buildings
アナウンサー sportscaster
春 autumn
資料 archival
すぐ immediately
後継 successor
小型 large-sized
エリア in-town
制定 enactment
全く fact
住 lived
1985 1985
堂 arcades
信号 signals
弾 bazooka
参戦 championship-3
方針 approving
原則 stipulate
レギュラー lineup
失敗 failed
生徒 students
l l
公演 sold-out
大量 stockpiled
医療 healthcare
1986 1983
フジ tnn
県道 bus.
小さ size
食べ eaten
ロンドン madrid
限り indefinitely
改良 modifications
屋 grocer
湾 gulf
連盟 federation
倍 one-tenth
隣接 adjacent
すれ if
機動 tactical
文書 documents
病 disease
衆議 senate
動き movements
もう i
節 1-3
価格 prices
プログラム programs
農業 agriculture
保険 insurance
地位 preeminence
刊行 republished
板 blackboards
まず proceed
? ?
夜 night
金属 metals
レベル levels
神奈川 southend-on-sea
家庭 household
世代 generation
違 differently
長野 vermont
おけ inclusively
並 row
ツアー tour
検討 feasibility
取引 brokers
電力 electricity
施行 enactment
1人 who
本塁 homers
酸 acids
規制 regulations
後期 mid-late
学園 marymount
of dayal
供給 supply
プレー goal-scoring
1950 1950
ケース cases
アップ tweaking
適用 applicable
波 waves
保存 preservation
ダイヤ skip-stop
変え changing
地震 earthquake
ベスト top-20
アフリカ africa
すなわち i.e.
1984 1980
諸島 islands
激し intense
消費 consumption
きっかけ sparked
ビデオ video
危険 dangerous
ステージ stage
市街 outskirts
ホテル hotel
森 woods
建て erected
部屋 room
固定 fixed
オフ preseason
技 grappling
物理 physics
コード code
300 300
シーン scene
基礎 basic
ホール auditorium
実 berry
長官 undersecretary
編 vol
鎌倉 gormanston
回転 counter-rotating
民間 government-operated
治療 treatments
八 tye
発言 saying
及 over
形状 shape
花 flower
女優 actress
更に further
静岡 hampshire
兄弟 brothers
貴族 aristocracy
読 read
注目 highlighted
わずか nearly
一種 generically
提案 proposal
乗 oncoming
推進 initiative
主演 starring
本格 began
加盟 member-states
領域 domains
現象 phenomenon
好 surprisingly
ポイント points
相互 reciprocal
応 receive
視聴 viewers
諸国 countries
自己 individual
分布 subpopulations
わか guessed
主催 hosted
欧州 european
交渉 negotiations
更新 overhauled
タイ thailand
配信 streamed
大幅 drastically
秋 autumn
トンネル tunnel
質 granules
繰り返 repeated
投票 voting
開設 opened
必ず necessarily
認識 relevance
撤退 withdrawing
tbs abc-tv
兵庫 delaware
哲学 philosophy
海岸 coastline
代わり instead
集 excerpts
オランダ dutch
まだ never
結局 failed
統治 protectorate
トラック trailers
広が sprawls
奈良 dallastown
中止 cancelled
イン viva
バック back-up
扱い unadvertised
十分 sufficient
積極 encouraging
札幌 edmonton
資金 funds
収め amassed
料 fees
ぬ dreadful
金融 banking
歩 walking
1983 1983
1982 1977
低下 decreased
出力 output
ルート routes
歌手 singer
気 excited
愛知 iowa
改称 renamed
実行 execute
開通 re-routed
埼玉 tameside
不足 shortage
遺伝 genetic
ワン dash
期待 promising
分割 partitioned
伝説 legend
王座 heavyweight
博士 dr.
岡山 greenville
秒 seconds
_ _
対抗 rival
規格 specifications
代わ replace
再開 resumed
90 90
若 young
こ masen
建造 built
スタイル styles
スタッフ interns
進行 progresses
演 portrayed
図書 library
スタート ahead
電鉄 trolley
ニュー residente
インターネット internet
黒 black
当駅 freight-only
経緯 mooted
否定 asserted
継 succeeded
展示 exhibits
かかわ not
楽器 woodwind
加入 signed
起用 stand-in
権利 rights
帰国 returned
どの necessarily
1972 1972
プロジェクト project
丸 plumper
理解 understand
合成 synthetically
諸 confederacies
過ぎ just
× ×
理事 chaired
かなり fairly
公共 public
自衛 active-duty
ページ page
ユニット mcs
占領 re-occupied
fc fc
カラー colors
周囲 surrounded
1000 1000
新設 upgraded
注意 advisable
認定 certified
旅行 trips
確立 establishing
次第 gradually
単独 sole
地名 placename
兵器 weapons
崩壊 collapse
検査 inspection
東海 mid-michigan
医学 medicine
付き full
w t
つまり implies
dvd dvd
改善 improve
ただ never
常 always
臨時 temporary
奪 regain
今日 today
用語 terminology
長崎 aberdeen
1979 1978
福島 sudbury
料金 flat-rate
各国 countries
訓練 training
ポーランド poland
u u
か月 months
長男 eldest
ii iii
名誉 honorary
区分 sub-divided
本名 birthname
目標 aiming
ゲスト guest
門 turreted
毎日 daily
処分 fined
さまざま myriad
直前 shortly
外部 external
費 costs
陸上 swimming
発着 serviced
前半 half
開幕 pre-season
分子 molecular
許 allowed
愛称 nicknames
手法 methods
プレイ game
1975 1971
左 left-side
すでに already
空気 condensing
階級 rank
到着 arriving
少女 girl
1981 1978
# :
西部 western
李 yun
ね glad
消滅 reverting
角 angle
機会 opportunities
あり '
酸化 oxidation
各種 various
解釈 interpretation
決ま chosen
1978 1976
33 36
周年 anniversary
熱 heat
会員 memberships
1973 1973
\& lt
1945 1945
発達 well-developed
言え arguably
通算 consecutive
関数 one-parameter
\&lt; lt
調整 adjustments
任命 appointed
イングランド spain
許可 permission
提出 submitted
分かれ divided
ネットワーク network
ずつ each
有効 effective
足 foot
執筆 ghostwritten
博物 museum
オーストラリア ecuador
ルール rules
演出 directing
鹿児島 invercargill
36 39
カナダ mexico
表明 endorsed
結合 covalent
文 paragraphs
燃料 fuel
カメラ camera
抵抗 resistance
前年 year
走行 on-road
身 tatters
組み合わせ combinations
プロレス wrestling
セット sets
1969 1969
西武 rockies
命名 naming
ドア windscreen
中間 intermediate
破 defeating
歴代 longest-reigning
民 peoples
右 right-hand
ゴール goal
回復 regaining
イオン ion
担 responsible
準備 preparing
富士 bathurst
在籍 stints
フル setup
平和 peace
東部 southwestern
性質 depends
田中 harding
投入 deliveries
ヶ月 months
拡張 expansions
やがて soon
衛星 satellites
モード mode
順 alphabetically
55 55
幅 width
1971 1970
声優 actress
もたら consequent
感染 infection
集中 concentrated
義務 mandatory
冠 title
○ abbreviate
性格 disposition
中世 medieval
植民 colonies
取締 non-executive
優秀 outstanding
問 judged
逮捕 arrested
資本 capitalists
議論 debate
優れ excellent
父親 father
親 parent
1968 1964
直通 commuter
剤 detergents
芸能 showbusiness
免許 licences
末期 early
三菱 aec
オーストリア austrian
オール comeback
立て laying
価値 value
働 working
巨大 gigantic
サン joli
秋田 sudbury
東西 east-west
づけ overarching
試み attempt
加わ joined
又 severally
1974 1970
死後 death
ピアノ piano
いえ arguably
34 37
年齢 17-year-olds
管轄 jurisdiction
分か seem
地帯 mountainous
貿易 trade
街道 road
具体 relevant
受け入れ accept
知事 then-governor
ブレーキ brakes
侵攻 invasion
中学 eighth-grade
盛ん thriving
1976 1972
章 chapter
規則 rules
アクセス access
二人 threesome
早 quickened
藤原 'carroll
当選 election
統計 statistics
エピソード flashbacks
構想 envisioned
38 37
事態 impending
男子 men
' xxxvii
シート recaro
大半 mostly
分析 analysis
難し difficult
練習 playing
高度 baseline
略称 abbreviated
額 earnings
すぎ too
転換 reoriented
天文 astronomer
仏教 buddhism
熊本 aberdeen
表面 layers
1977 1977
解決 resolving
河川 waterways
ミサイル missiles
収入 earnings
シティ metros
鈴木 bennett
輸入 imported
誰 anyone
停留 tollgate
件 reported
上げ achieved
ド de
昇格 demoted
気候 climate
国王 monarch
路 roads
区域 zones
管 organs
証明 proof
側面 slanted
顔 eyes
小さな small
駆逐 destroyer
重視 emphasis
陣 regulars
過程 process
挑戦 challenge
ターミナル terminal
スタジアム stadium
跡 re-buried
観 world-view
財政 finances
入団 tryout
罪 misdemeanour
危機 crisis
全員 members
まとめ appendices
左右 horizontally
指名 drafted
吸収 absorbed
集合 compactly
食品 foods
動作 synchronization
古く historically
武器 weaponry
殺害 murdered
裏 tacked
信仰 veneration
上昇 increases
ソフトウェア software
土曜 monday-thursday
外交 diplomacy
保有 acquire
元々 originally
上位 highest-ranked
宮 templemore
みな excluded
遅れ delayed
42 46
拒否 refusal
戦略 strategy
評 underrated
有力 vied
pc pc
手段 rely
厳し harsher
動 motion
脚本 screenplay
同士 inter-group
ちゃん weenie
戦艦 battleship
招 instigated
名乗 name
薬 medication
避け avoid
バージョン version
用意 specially
カトリック catholic
悪化 worsening
百 hundred
国会 lawmakers
予選 qualifying
どちら either
南北 north-south
訳 translated
主題 theme
要 requiring
下記 non-exhaustive
銃 gun
郵便 postal
軽 heavier
弟子 disciple
長期 short-term
令 repealed
即位 abdicated
健康 health
くれ get
引き継 predecessor
kg kg
犯罪 crime
防御 defensively
政党 non-democratic
軸 pivots
平日 weekday
像 life-size
1964 1964
成 consisting
急 headwinds
180 1800
源 source
築 fortified
録音 recordings
大名 baronial
1967 1967
進学 pre-med
とおり follows
ばかり seemed
実質 facto
ショー show
連結 bi-level
前身 now-defunct
合計 total
西側 east
トン tons
行き east-bound
任 newly-appointed
記者 reporters
推定 estimates
林 groves
広告 advertising
戦車 tankettes
起源 origins
合流 joins
施 specially
夢 dream
詩 poems
相撲 rugby
栽培 cultivation
デ resende
ハウス ritz
サイズ sizes
買収 acquisition
400 400
明確 clearly
審査 adjudicators
依頼 solicited
窓 skylights
プロデューサー co-producer
希望 offer
親王 carbery
新宿 hammersmith
項目 lists
タウン mid-city
44 39
児童 school-age
ブラジル brazil
神経 nervous
案内 signage
オブ juegos
なし no
岐阜 mankato
もっとも most
プレイヤー non-player
ほう gote
海上 maritime
なか among
青森 fredericton
深夜 late-night
スペース space
列 rows
戦士 warrior
多様 diverse
週間 weeks
比 ratio
乱 risings
抑え lead
反乱 revolt
互い mutually
会場 venue
協議 consultation
現地 uncontacted
1965 1961
合格 exam
初頭 early
リンク waypoints
両者 between
チャンネル channel
任務 missions
居住 residing
巨人 giants
個体 subpopulations
強制 forcible
ランド safari
川崎 sunderland
発射 launchers
知識 knowledge
事情 reasons
やや slightly
こそ truly
木 tree
一族 clan
解放 liberation
37 37
絵 drawings
徐々 gradually
エジプト egypt
現実 realities
乗り入れ commuter
携帯 phones
快速 intercity
主力 full-strength
あたり one-half
ジョージ enrique
スペシャル specials
ファイル files
駅前 downtown
改修 re-built
生成 decomposition
< kegan
好き liked
スウェーデン swedish
伊勢 bangor
引き続 replacing
生命 humanity
投資 investment
ミュージック music
閉鎖 closed
要請 requested
ジャパン transworld
生息 habitat
吉田 jennings
ブロック blocks
リスト list
1966 1966
食 food
銀 silver
箇所 sections
遺跡 archeological
学習 learning
話題 talked-about
活用 utilizing
弱 weak
集ま attracts
流行 craze
判決 defendants
